outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,peer_cleaning_ann_rate,focal_cleaning_ann_rate,draw,fe_spec
peer_car_m1_p1_mm,specz_ai_active,0.0018136656941889263,0.0009487297830142668,1.9116778314122482,0.05591752946697981,7719,2365,3680,-0.0009773192759521539,0.27814483741417284,0.0,0.0,18,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.0018136656941889263,0.0009487297830142668,1.9116778314122482,0.05591752946697981,7719,2365,3680,-0.0009773192759521539,0.27814483741417284,0.0,0.0,18,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.0018579378852572558,0.0008294903581054228,-2.239854709704925,0.025100356730049622,7786,2371,3688,-0.0007463965518619075,0.2752376059594143,0.0,0.0,19,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.001857937885257256,0.0008294903581054229,-2.2398547097049244,0.025100356730049622,7786,2371,3688,-0.0007463965518619075,0.2752376059594143,0.0,0.0,19,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0017331526351116889,0.0009985117961412368,-1.7357357637731294,0.08261056676606238,7786,2371,3688,-0.000175335247872276,0.2752376059594143,0.0,0.0,19,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0017331526351116889,0.0009985117961412368,-1.7357357637731294,0.08261056676606238,7786,2371,3688,-0.000175335247872276,0.2752376059594143,0.0,0.0,19,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,0.0015714179993348983,0.000806128984905378,1.94933816890277,0.05125505322104007,7694,2375,3652,-0.0009600731552086969,0.26995061086560956,0.0,0.0,20,event_fe
peer_car_0_p1_mm,specz_ai_active,0.0015714179993348981,0.000806128984905378,1.9493381689027698,0.05125505322104007,7694,2375,3652,-0.0009600731552086969,0.26995061086560956,0.0,0.0,20,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.0018075937103806232,0.0008985323378687357,2.0117180364015903,0.0442496682278386,7694,2375,3652,-0.0009860244642465059,0.26995061086560956,0.0,0.0,20,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.001807593710380624,0.0008985323378687359,2.0117180364015907,0.0442496682278386,7694,2375,3652,-0.0009860244642465059,0.26995061086560956,0.0,0.0,20,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,1.833575098076286e-05,0.0008732306272388079,0.0209976040793957,0.9832475669231284,7699,2365,3636,-0.00020700853542992057,0.272502922457462,0.0,0.0,21,event_fe
peer_car_0_p1_mm,specz_ai_active,1.8335750980762697e-05,0.0008732306272388079,0.020997604079395514,0.9832475669231286,7699,2365,3636,-0.00020700853542992057,0.272502922457462,0.0,0.0,21,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.00043082041711846623,0.0010267733511130596,0.4195866757268693,0.6747874237548963,7699,2365,3636,-0.0002576134552476233,0.272502922457462,0.0,0.0,21,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.0004308204171184661,0.0010267733511130596,0.4195866757268692,0.6747874237548963,7699,2365,3636,-0.0002576134552476233,0.272502922457462,0.0,0.0,21,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.0003915047079774241,0.0009322556629771929,-0.4199542287864891,0.6745188910494369,7701,2370,3643,-0.0010064665551858146,0.2789248149590962,0.0,0.0,22,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0003915047079774242,0.0009322556629771929,-0.41995422878648914,0.6745188910494369,7701,2370,3643,-0.0010064665551858146,0.2789248149590962,0.0,0.0,22,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.000693791648531304,0.0010846642638247905,0.6396372330778425,0.5224084704347818,7701,2370,3643,-0.001401349817579517,0.2789248149590962,0.0,0.0,22,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.000693791648531304,0.0010846642638247905,0.6396372330778425,0.5224084704347818,7701,2370,3643,-0.001401349817579517,0.2789248149590962,0.0,0.0,22,event_fe_peer_industry_week_fe
