outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,draw,fe_spec
peer_car_0_p1_mm,specz_ai_active,-0.0011449032212909602,0.0005807983335663114,-1.9712577587143565,0.04869440035591088,20136,2599,4661,-0.00048923464350526,0.27761223678982916,25,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0011449032212909602,0.0005807983335663114,-1.9712577587143565,0.04869440035591088,20136,2599,4661,-0.00048923464350526,0.27761223678982916,25,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0011109591856312791,0.000672036853447256,-1.6531224142434198,0.09830595246300966,20136,2599,4661,-0.0002081678348625728,0.27761223678982916,25,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0011109591856312796,0.000672036853447256,-1.6531224142434204,0.09830595246300966,20136,2599,4661,-0.0002081678348625728,0.27761223678982916,25,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.00022203062645804498,0.0005523125705030094,-0.4020017618933321,0.6876827296101222,20099,2598,4650,-0.0006543211996884662,0.27782476740136325,26,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0002220306264580449,0.0005523125705030094,-0.4020017618933319,0.6876827296101224,20099,2598,4650,-0.0006543211996884662,0.27782476740136325,26,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0008028392910393235,0.000646496518917951,-1.2418308027134395,0.21429899524497387,20099,2598,4650,-0.00038793779263078895,0.27782476740136325,26,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0008028392910393235,0.000646496518917951,-1.2418308027134395,0.21429899524497387,20099,2598,4650,-0.00038793779263078895,0.27782476740136325,26,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-8.112990144856536e-05,0.0004903227892545765,-0.1654622286104727,0.8685801772144277,20022,2597,4642,-0.0006690370942371741,0.28109080011986814,27,event_fe
peer_car_0_p1_mm,specz_ai_active,-8.112990144856541e-05,0.0004903227892545765,-0.1654622286104728,0.8685801772144277,20022,2597,4642,-0.0006690370942371741,0.28109080011986814,27,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0003021540342275486,0.0006111224827608655,-0.49442467385999045,0.6210062920433366,20022,2597,4642,-0.0004978552231635949,0.28109080011986814,27,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.00030215403422754865,0.0006111224827608655,-0.49442467385999056,0.6210062920433366,20022,2597,4642,-0.0004978552231635949,0.28109080011986814,27,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,0.0006536706743207847,0.0005097541769986607,1.2823252928881879,0.19972855890961316,20167,2600,4671,-0.0005857609049930435,0.27693757127981355,28,event_fe
peer_car_0_p1_mm,specz_ai_active,0.0006536706743207844,0.0005097541769986608,1.282325292888187,0.19972855890961339,20167,2600,4671,-0.0005857609049930435,0.27693757127981355,28,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.0005330492929683114,0.000648176909617536,0.8223824160642239,0.4108592838208829,20167,2600,4671,-0.000439588561034702,0.27693757127981355,28,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.0005330492929683118,0.0006481769096175359,0.8223824160642247,0.41085928382088244,20167,2600,4671,-0.000439588561034702,0.27693757127981355,28,event_fe_peer_industry_week_fe
