outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,peer_group,top_n,sample,fe_spec,model
peer_car_0_p1_mm,specz_ai_active,-0.00039031942784311416,0.0005498372434109115,-0.7098817559570362,0.4777774648211315,20073,2598,4658,-0.0008641461098959014,0.28057589797240073,random_same_industry_one_draw,10,first_focal_event_clean,event_fe,M1
peer_car_0_p1_mm,ai_active_peer_tminus5,0.00024291407739899845,0.0006724394995189985,0.36124302271469316,0.7179177830040837,20073,2598,4658,-0.0008641461098959014,0.28057589797240073,random_same_industry_one_draw,10,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_0_p1_mm,specz_ai_active,-0.0003886048807454113,0.0005498075203971365,-0.706801683004835,0.47968972854710046,20073,2598,4658,-0.0008641461098959014,0.28057589797240073,random_same_industry_one_draw,10,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_0_p1_mm,product_similarity,0.00392100670424088,0.003952532844182637,0.9920238132902154,0.3211859091232394,20073,2598,4658,-0.0008641461098959014,0.28057589797240073,random_same_industry_one_draw,10,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_m1_p1_mm,ai_active_peer_tminus5,-2.3417501469921994e-05,0.0008326416479270237,-0.028124345603205286,0.9775629767678478,20073,2598,4658,-0.0006370469653978083,0.28057589797240073,random_same_industry_one_draw,10,first_focal_event_clean,event_fe,M1
peer_car_m1_p1_mm,specz_ai_active,-0.0010769668172931673,0.0006217270603349671,-1.732218019773711,0.08323475183252671,20073,2598,4658,-0.0006370469653978083,0.28057589797240073,random_same_industry_one_draw,10,first_focal_event_clean,event_fe,M1
peer_car_m1_p1_mm,ai_active_peer_tminus5,-3.841584473808023e-05,0.0008330457868241728,-0.046114925908854625,0.9632186495097881,20073,2598,4658,-0.0006370469653978083,0.28057589797240073,random_same_industry_one_draw,10,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_m1_p1_mm,specz_ai_active,-0.001072747783931501,0.0006217191847452956,-1.7254538869843332,0.08444570722026445,20073,2598,4658,-0.0006370469653978083,0.28057589797240073,random_same_industry_one_draw,10,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_m1_p1_mm,product_similarity,0.00964852940970068,0.004727875536838966,2.040774833119156,0.04127321318562838,20073,2598,4658,-0.0006370469653978083,0.28057589797240073,random_same_industry_one_draw,10,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_0_p1_mm,ai_active_peer_tminus5,0.00024900916215334724,0.0006719293475552559,0.37058831119572444,0.7109441894350927,20073,2598,4658,-0.0008641461098959014,0.28057589797240073,random_same_industry_one_draw,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M1
peer_car_0_p1_mm,specz_ai_active,-0.0003903194278431145,0.0005498372434109115,-0.7098817559570367,0.47777746482113126,20073,2598,4658,-0.0008641461098959014,0.28057589797240073,random_same_industry_one_draw,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M1
peer_car_0_p1_mm,ai_active_peer_tminus5,0.00024291407739899867,0.0006724394995189986,0.3612430227146934,0.7179177830040837,20073,2598,4658,-0.0008641461098959014,0.28057589797240073,random_same_industry_one_draw,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
peer_car_0_p1_mm,specz_ai_active,-0.0003886048807454113,0.0005498075203971365,-0.706801683004835,0.47968972854710046,20073,2598,4658,-0.0008641461098959014,0.28057589797240073,random_same_industry_one_draw,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
peer_car_0_p1_mm,product_similarity,0.003921006704240881,0.003952532844182637,0.9920238132902156,0.3211859091232394,20073,2598,4658,-0.0008641461098959014,0.28057589797240073,random_same_industry_one_draw,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
peer_car_m1_p1_mm,ai_active_peer_tminus5,-2.3417501469922265e-05,0.0008326416479270237,-0.028124345603205612,0.9775629767678473,20073,2598,4658,-0.0006370469653978083,0.28057589797240073,random_same_industry_one_draw,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M1
peer_car_m1_p1_mm,specz_ai_active,-0.0010769668172931671,0.0006217270603349671,-1.7322180197737107,0.08323475183252671,20073,2598,4658,-0.0006370469653978083,0.28057589797240073,random_same_industry_one_draw,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M1
peer_car_m1_p1_mm,ai_active_peer_tminus5,-3.84158447380805e-05,0.0008330457868241728,-0.04611492590885495,0.9632186495097876,20073,2598,4658,-0.0006370469653978083,0.28057589797240073,random_same_industry_one_draw,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
peer_car_m1_p1_mm,specz_ai_active,-0.0010727477839315009,0.0006217191847452956,-1.7254538869843328,0.08444570722026468,20073,2598,4658,-0.0006370469653978083,0.28057589797240073,random_same_industry_one_draw,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
peer_car_m1_p1_mm,product_similarity,0.00964852940970068,0.004727875536838966,2.040774833119156,0.04127321318562838,20073,2598,4658,-0.0006370469653978083,0.28057589797240073,random_same_industry_one_draw,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
