model,sample_name,top_n,clean,outcome,covariance,term,coef,se,z,p,nobs,events,focal_firms,peer_firms,mean_y,mean_ai_active
M2_plus_similarity_control,all_events,10,raw,peer_ar0_ma,twoway_event_peer,ai_active_peer_tminus5,-8.85726751573795e-06,0.00022200817620953684,-0.03989613205676822,0.9681759348212897,190611,20124,2652,5041,0.0011238343065195612,0.5446695101541884
M2_plus_similarity_control,all_events,10,raw,peer_ar0_ma,twoway_event_peer,specz_ai_active,-0.00016035779399321986,0.00019180828536785247,-0.8360316327612416,0.40313710764267996,190611,20124,2652,5041,0.0011238343065195612,0.5446695101541884
M2_plus_similarity_control,all_events,10,raw,peer_ar0_ma,twoway_event_peer,product_similarity,0.0016487329074186057,0.0017135601939366413,0.9621680716280501,0.335965184635594,190611,20124,2652,5041,0.0011238343065195612,0.5446695101541884
M1_specz_x_ai_active,all_events,10,raw,peer_car_0_p1_ma,event_cluster,ai_active_peer_tminus5,-0.0002142547854382981,0.0002636479686295793,-0.8126547932532044,0.4164160068770828,190454,20117,2652,5041,0.0016647252302393236,0.5445776933012696
M1_specz_x_ai_active,all_events,10,raw,peer_car_0_p1_ma,event_cluster,specz_ai_active,-0.00028203774715700246,0.00026105838195075086,-1.080362733613393,0.2799806840001213,190454,20117,2652,5041,0.0016647252302393236,0.5445776933012696
M1_specz_x_ai_active,all_events,10,raw,peer_car_0_p1_ma,twoway_event_peer,ai_active_peer_tminus5,-0.0002142547854382981,0.0003670124842580198,-0.58378064678495,0.5593679005357437,190454,20117,2652,5041,0.0016647252302393236,0.5445776933012696
M1_specz_x_ai_active,all_events,10,raw,peer_car_0_p1_ma,twoway_event_peer,specz_ai_active,-0.00028203774715700246,0.00029486063722608595,-0.9565120316169856,0.3388136086858038,190454,20117,2652,5041,0.0016647252302393236,0.5445776933012696
M2_plus_similarity_control,all_events,10,raw,peer_car_0_p1_ma,event_cluster,ai_active_peer_tminus5,-0.00021830292948064024,0.00026372112111744297,-0.8277794685372332,0.4077954042534411,190454,20117,2652,5041,0.0016647252302393236,0.5445776933012696
M2_plus_similarity_control,all_events,10,raw,peer_car_0_p1_ma,event_cluster,specz_ai_active,-0.00028190410883290057,0.000261051866236433,-1.0798777763863285,0.28019661080021363,190454,20117,2652,5041,0.0016647252302393236,0.5445776933012696
M2_plus_similarity_control,all_events,10,raw,peer_car_0_p1_ma,event_cluster,product_similarity,0.0012516529991849056,0.002336149002277098,0.535776184637577,0.592113243379238,190454,20117,2652,5041,0.0016647252302393236,0.5445776933012696
M2_plus_similarity_control,all_events,10,raw,peer_car_0_p1_ma,twoway_event_peer,ai_active_peer_tminus5,-0.00021830292948064024,0.0003670263531548672,-0.5947881605889129,0.55198508252187,190454,20117,2652,5041,0.0016647252302393236,0.5445776933012696
M2_plus_similarity_control,all_events,10,raw,peer_car_0_p1_ma,twoway_event_peer,specz_ai_active,-0.00028190410883290057,0.0002948201481937923,-0.9561901062731923,0.33897619753726094,190454,20117,2652,5041,0.0016647252302393236,0.5445776933012696
M2_plus_similarity_control,all_events,10,raw,peer_car_0_p1_ma,twoway_event_peer,product_similarity,0.0012516529991849056,0.002520511844148556,0.4965868349679275,0.6194804387983355,190454,20117,2652,5041,0.0016647252302393236,0.5445776933012696
M1_specz_x_ai_active,all_events,10,raw,peer_car_m1_p1_ma,event_cluster,ai_active_peer_tminus5,8.094952597892993e-05,0.0003425348154033477,0.2363249583363046,0.8131805214064081,190356,20117,2652,5040,0.003212718427577801,0.5446479228393116
M1_specz_x_ai_active,all_events,10,raw,peer_car_m1_p1_ma,event_cluster,specz_ai_active,-0.0005701780530497055,0.000364670818078639,-1.5635417609059965,0.11792522109339099,190356,20117,2652,5040,0.003212718427577801,0.5446479228393116
M1_specz_x_ai_active,all_events,10,raw,peer_car_m1_p1_ma,twoway_event_peer,ai_active_peer_tminus5,8.094952597892993e-05,0.0005086532826156651,0.15914480205978504,0.8735547910499224,190356,20117,2652,5040,0.003212718427577801,0.5446479228393116
M1_specz_x_ai_active,all_events,10,raw,peer_car_m1_p1_ma,twoway_event_peer,specz_ai_active,-0.0005701780530497055,0.0004039767185171854,-1.4114131505958303,0.15812282760446772,190356,20117,2652,5040,0.003212718427577801,0.5446479228393116
M2_plus_similarity_control,all_events,10,raw,peer_car_m1_p1_ma,event_cluster,ai_active_peer_tminus5,7.73393193371953e-05,0.0003426775661610415,0.22569122397948177,0.8214415842466518,190356,20117,2652,5040,0.003212718427577801,0.5446479228393116
M2_plus_similarity_control,all_events,10,raw,peer_car_m1_p1_ma,event_cluster,specz_ai_active,-0.0005700588023338256,0.0003646627825302437,-1.5632491980081547,0.11799399233232766,190356,20117,2652,5040,0.003212718427577801,0.5446479228393116
